month,bunker_type,bunker_sales
1997-05,Others,88.777
1997-06,Marine Gas Oil,101.077
1997-06,Marine Diesel Oil,41.395
1997-06,Marine Fuel Oil 180 cst,355.463
1997-06,Marine Fuel Oil 380 cst,869.785
1997-06,Marine Fuel Oil 500 cst +,0
1997-06,Low-Sulfur Marine Gas Oil,0
1997-06,Low-Sulfur Fuel Oil 100 cst,0
1997-06,Low-Sulfur Fuel Oil 180 cst,0
1997-06,Low-Sulfur Fuel Oil 380 cst,0
1997-06,Low-Sulfur Fuel Oil 500 cst,0
1997-06,Ultra Low-Sulfur Fuel Oil,0
1997-06,Others,84.915
1997-07,Marine Gas Oil,107.683
1997-07,Marine Diesel Oil,40.721
1997-07,Marine Fuel Oil 180 cst,368.18
1997-07,Marine Fuel Oil 380 cst,928.473
1997-07,Marine Fuel Oil 500 cst +,0
1997-07,Low-Sulfur Marine Gas Oil,0
1997-07,Low-Sulfur Fuel Oil 100 cst,0
1997-07,Low-Sulfur Fuel Oil 180 cst,0
1997-07,Low-Sulfur Fuel Oil 380 cst,0
1997-07,Low-Sulfur Fuel Oil 500 cst,0
1997-07,Ultra Low-Sulfur Fuel Oil,0
1997-07,Others,73.998
1997-08,Marine Gas Oil,107.08
1997-08,Marine Diesel Oil,39.197
1997-08,Marine Fuel Oil 180 cst,340.107
1997-08,Marine Fuel Oil 380 cst,822.041
1997-08,Marine Fuel Oil 500 cst +,0
1997-08,Low-Sulfur Marine Gas Oil,0
1997-08,Low-Sulfur Fuel Oil 100 cst,0
1997-08,Low-Sulfur Fuel Oil 180 cst,0
1997-08,Low-Sulfur Fuel Oil 380 cst,0
1997-08,Low-Sulfur Fuel Oil 500 cst,0
1997-08,Ultra Low-Sulfur Fuel Oil,0
1997-08,Others,63.416
1997-09,Marine Gas Oil,106.661
1997-09,Marine Diesel Oil,36.646
1997-09,Marine Fuel Oil 180 cst,314.895
1997-09,Marine Fuel Oil 380 cst,756.121
1997-09,Marine Fuel Oil 500 cst +,0
1997-09,Low-Sulfur Marine Gas Oil,0
1997-09,Low-Sulfur Fuel Oil 100 cst,0
1997-09,Low-Sulfur Fuel Oil 180 cst,0
1997-09,Low-Sulfur Fuel Oil 380 cst,0
1997-09,Low-Sulfur Fuel Oil 500 cst,0
1997-09,Ultra Low-Sulfur Fuel Oil,0
1997-09,Others,80.693
1997-10,Marine Gas Oil,96.513
1997-10,Marine Diesel Oil,42.001
1997-10,Marine Fuel Oil 180 cst,319.636
1997-10,Marine Fuel Oil 380 cst,797.972
1997-10,Marine Fuel Oil 500 cst +,0
1997-10,Low-Sulfur Marine Gas Oil,0
1997-10,Low-Sulfur Fuel Oil 100 cst,0
1997-10,Low-Sulfur Fuel Oil 180 cst,0
1997-10,Low-Sulfur Fuel Oil 380 cst,0
1997-10,Low-Sulfur Fuel Oil 500 cst,0
1997-10,Ultra Low-Sulfur Fuel Oil,0
1997-10,Others,65.536
1997-11,Marine Gas Oil,98.844
1997-11,Marine Diesel Oil,39.023
1997-11,Marine Fuel Oil 180 cst,272.779
1997-11,Marine Fuel Oil 380 cst,816.855
1997-11,Marine Fuel Oil 500 cst +,0
1997-11,Low-Sulfur Marine Gas Oil,0
1997-11,Low-Sulfur Fuel Oil 100 cst,0
1997-11,Low-Sulfur Fuel Oil 180 cst,0
1997-11,Low-Sulfur Fuel Oil 380 cst,0
1997-11,Low-Sulfur Fuel Oil 500 cst,0
1997-11,Ultra Low-Sulfur Fuel Oil,0
1997-11,Others,78.517
1997-12,Marine Gas Oil,103.163
1997-12,Marine Diesel Oil,41.877
1997-12,Marine Fuel Oil 180 cst,306.488
1997-12,Marine Fuel Oil 380 cst,944.529
1997-12,Marine Fuel Oil 500 cst +,0
1997-12,Low-Sulfur Marine Gas Oil,0
1997-12,Low-Sulfur Fuel Oil 100 cst,0
1997-12,Low-Sulfur Fuel Oil 180 cst,0
1997-12,Low-Sulfur Fuel Oil 380 cst,0
1997-12,Low-Sulfur Fuel Oil 500 cst,0
1997-12,Ultra Low-Sulfur Fuel Oil,0
1997-12,Others,79.834
1998-01,Marine Gas Oil,117.381
1998-01,Marine Diesel Oil,42.853
